gbifID,identifier,species,genus,family,class,phylum,file_name
1572324720,http://www.tierstimmenarchiv.de/recordings/Crex_crex_DIG0196_02_short.mp3,Crex crex,Crex,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Crex/Crex_crex/1572324720.mp3
1572324719,http://www.tierstimmenarchiv.de/recordings/Crex_crex_DIG0196_04_short.mp3,Crex crex,Crex,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Crex/Crex_crex/1572324719.mp3
1572324718,http://www.tierstimmenarchiv.de/recordings/Crex_crex_DIG0196_07_short.mp3,Crex crex,Crex,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Crex/Crex_crex/1572324718.mp3
1572324717,http://www.tierstimmenarchiv.de/recordings/Crex_crex_DIG0196_06_short.mp3,Crex crex,Crex,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Crex/Crex_crex/1572324717.mp3
1572324716,http://www.tierstimmenarchiv.de/recordings/Crex_crex_DIG0196_01_short.mp3,Crex crex,Crex,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Crex/Crex_crex/1572324716.mp3
1572324715,http://www.tierstimmenarchiv.de/recordings/Crex_crex_DIG0196_05_short.mp3,Crex crex,Crex,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Crex/Crex_crex/1572324715.mp3
1572324714,http://www.tierstimmenarchiv.de/recordings/Crex_crex_DIG0196_03_short.mp3,Crex crex,Crex,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Crex/Crex_crex/1572324714.mp3
1571202165,http://www.tierstimmenarchiv.de/recordings/Phylloscopus_ibericus_DIG0195_06_short.mp3,Phylloscopus ibericus,Phylloscopus,Phylloscopidae,Aves,Chordata,Chordata/Aves/Phylloscopidae/Phylloscopus/Phylloscopus_ibericus/1571202165.mp3
1500204467,http://www.tierstimmenarchiv.de/recordings/Anas_acuta_DIG0195_03_short.mp3,Anas acuta,Anas,Anatidae,Aves,Chordata,Chordata/Aves/Anatidae/Anas/Anas_acuta/1500204467.mp3
1500204466,http://www.tierstimmenarchiv.de/recordings/Anas_acuta_DIG0195_05_short.mp3,Anas acuta,Anas,Anatidae,Aves,Chordata,Chordata/Aves/Anatidae/Anas/Anas_acuta/1500204466.mp3
1500204465,http://www.tierstimmenarchiv.de/recordings/Anas_acuta_DIG0195_01_short.mp3,Anas acuta,Anas,Anatidae,Aves,Chordata,Chordata/Aves/Anatidae/Anas/Anas_acuta/1500204465.mp3
1500204464,http://www.tierstimmenarchiv.de/recordings/Anas_acuta_DIG0195_04_short.mp3,Anas acuta,Anas,Anatidae,Aves,Chordata,Chordata/Aves/Anatidae/Anas/Anas_acuta/1500204464.mp3
1500204463,http://www.tierstimmenarchiv.de/recordings/Anas_acuta_DIG0195_02_short.mp3,Anas acuta,Anas,Anatidae,Aves,Chordata,Chordata/Aves/Anatidae/Anas/Anas_acuta/1500204463.mp3
1482861361,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0116_41_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861361.mp3
1482861360,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0123_01_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861360.mp3
1482861359,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0126_58_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861359.mp3
1482861358,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0111_25_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861358.mp3
1482861357,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0126_57_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861357.mp3
1482861356,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0125_56_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861356.mp3
1482861355,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0116_40_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861355.mp3
1482861354,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0112_26_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861354.mp3
1482861352,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0112_29_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861352.mp3
1482861347,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0124_54_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861347.mp3
1482861342,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0120_47_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861342.mp3
1482861338,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0110_09_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861338.mp3
1482861334,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0111_18_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861334.mp3
1482861325,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0110_16_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861325.mp3
1482861312,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0109_07_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861312.mp3
1482861309,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0112_30_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861309.mp3
1482861270,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0124_55_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861270.mp3
1482861269,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0125_57_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861269.mp3
1482861268,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0117_42_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861268.mp3
1482861267,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0122_49A_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861267.mp3
1482861266,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0119_47_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861266.mp3
1482861265,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0113_33_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861265.mp3
1482861264,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0112_31_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861264.mp3
1482861263,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0114_36_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861263.mp3
