,gbifID,identifier,species,genus,family,class,phylum,file_name
12655,779852672,http://www.tierstimmenarchiv.de/recordings/Picoides_major_Co0153_08_short.mp3,Dendrocopos major,Dendrocopos,Picidae,Aves,Chordata,Chordata/Aves/Picidae/Dendrocopos/Dendrocopos_major/779852672.mp3
5593,779869814,http://www.tierstimmenarchiv.de/recordings/Vulpes_corsac_V1660_32_short.mp3,Vulpes corsac,Vulpes,Canidae,Mammalia,Chordata,Chordata/Mammalia/Canidae/Vulpes/Vulpes_corsac/779869814.mp3
10162,779857962,http://www.tierstimmenarchiv.de/recordings/Hystrix_indica_S1026_07_short.mp3,Hystrix indica,Hystrix,Hystricidae,Mammalia,Chordata,Chordata/Mammalia/Hystricidae/Hystrix/Hystrix_indica/779857962.mp3
1637,1229953719,http://www.tierstimmenarchiv.de/recordings/Lophura_diardi_Lue0066_02_short.mp3,Lophura diardi,Lophura,Phasianidae,Aves,Chordata,Chordata/Aves/Phasianidae/Lophura/Lophura_diardi/1229953719.mp3
1852,1229953113,http://www.tierstimmenarchiv.de/recordings/Corythaixoides_concolor_Lue0068_04_short.mp3,Corythaixoides concolor,Corythaixoides,Musophagidae,Aves,Chordata,Chordata/Aves/Musophagidae/Corythaixoides/Corythaixoides_concolor/1229953113.mp3
3589,1052813852,http://www.tierstimmenarchiv.de/recordings/Turdus_pilaris_Tre_N0066_16_short.mp3,Turdus pilaris,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_pilaris/1052813852.mp3
16052,779844444,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_scirpaceus_PF00053_short.mp3,Acrocephalus scirpaceus,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_scirpaceus/779844444.mp3
4984,991879347,http://www.tierstimmenarchiv.de/recordings/Carpodacus_erythrinus_DIG0177_17_short.mp3,Carpodacus erythrinus,Carpodacus,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Carpodacus/Carpodacus_erythrinus/991879347.mp3
9295,779860240,http://www.tierstimmenarchiv.de/recordings/Neofelis_nebulosa_S0545_01_short.mp3,Neofelis nebulosa,Neofelis,Felidae,Mammalia,Chordata,Chordata/Mammalia/Felidae/Neofelis/Neofelis_nebulosa/779860240.mp3
14082,779848867,http://www.tierstimmenarchiv.de/recordings/Canis_lupus_f_familiaris_S0031_01_short.mp3,Canis lupus,Canis,Canidae,Mammalia,Chordata,Chordata/Mammalia/Canidae/Canis/Canis_lupus/779848867.mp3
7002,779865919,http://www.tierstimmenarchiv.de/recordings/Saxicola_rubetra_DIG_0065_01_short.mp3,Saxicola rubetra,Saxicola,Muscicapidae,Aves,Chordata,Chordata/Aves/Muscicapidae/Saxicola/Saxicola_rubetra/779865919.mp3
5605,779869802,http://www.tierstimmenarchiv.de/recordings/Vulpes_corsac_S0726_01_short.mp3,Vulpes corsac,Vulpes,Canidae,Mammalia,Chordata,Chordata/Mammalia/Canidae/Vulpes/Vulpes_corsac/779869802.mp3
1963,1229950918,http://www.tierstimmenarchiv.de/recordings/Callipepla_gambelii_Lue0067_02_short.mp3,Callipepla gambelii,Callipepla,Odontophoridae,Aves,Chordata,Chordata/Aves/Odontophoridae/Callipepla/Callipepla_gambelii/1229950918.mp3
12727,779852406,http://www.tierstimmenarchiv.de/recordings/Cygnus_olor_V1812_05_short.mp3,Cygnus olor,Cygnus,Anatidae,Aves,Chordata,Chordata/Aves/Anatidae/Cygnus/Cygnus_olor/779852406.mp3
