gbifID,species,genus,family,class,phylum,file_name
1230246828,Pycnonotus nigricans,Pycnonotus,Pycnonotidae,Aves,Chordata,Chordata/Aves/Pycnonotidae/Pycnonotus/Pycnonotus_nigricans/1230246828.mp3
779853992,Emberiza hortulana,Emberiza,Emberizidae,Aves,Chordata,Chordata/Aves/Emberizidae/Emberiza/Emberiza_hortulana/779853992.mp3
779849670,Cervus elaphus,Cervus,Cervidae,Mammalia,Chordata,Chordata/Mammalia/Cervidae/Cervus/Cervus_elaphus/779849670.mp3
1269848168,Numenius phaeopus,Numenius,Scolopacidae,Aves,Chordata,Chordata/Aves/Scolopacidae/Numenius/Numenius_phaeopus/1269848168.mp3
779860246,Neofelis nebulosa,Neofelis,Felidae,Mammalia,Chordata,Chordata/Mammalia/Felidae/Neofelis/Neofelis_nebulosa/779860246.mp3
1249269511,Turdus merula,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_merula/1249269511.mp3
1229950920,Calocitta formosa,Calocitta,Corvidae,Aves,Chordata,Chordata/Aves/Corvidae/Calocitta/Calocitta_formosa/1229950920.mp3
779863173,Phylloscopus canariensis,Phylloscopus,Phylloscopidae,Aves,Chordata,Chordata/Aves/Phylloscopidae/Phylloscopus/Phylloscopus_canariensis/779863173.mp3
779864530,Pongo pygmaeus,Pongo,Hominidae,Mammalia,Chordata,Chordata/Mammalia/Hominidae/Pongo/Pongo_pygmaeus/779864530.mp3
1143515128,Numenius arquata,Numenius,Scolopacidae,Aves,Chordata,Chordata/Aves/Scolopacidae/Numenius/Numenius_arquata/1143515128.mp3
1143515527,Spheniscus demersus,Spheniscus,Spheniscidae,Aves,Chordata,Chordata/Aves/Spheniscidae/Spheniscus/Spheniscus_demersus/1143515527.mp3
779863401,Phylloscopus collybita,Phylloscopus,Phylloscopidae,Aves,Chordata,Chordata/Aves/Phylloscopidae/Phylloscopus/Phylloscopus_collybita/779863401.mp3
779860298,Netta rufina,Netta,Anatidae,Aves,Chordata,Chordata/Aves/Anatidae/Netta/Netta_rufina/779860298.mp3
991773110,Acrocephalus melanopogon,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_melanopogon/991773110.mp3
779850951,Chrysophlegma miniaceum,Chrysophlegma,Picidae,Aves,Chordata,Chordata/Aves/Picidae/Chrysophlegma/Chrysophlegma_miniaceum/779850951.mp3
779844377,Acrocephalus arundinaceus,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_arundinaceus/779844377.mp3
893457290,Certhia brachydactyla,Certhia,Certhiidae,Aves,Chordata,Chordata/Aves/Certhiidae/Certhia/Certhia_brachydactyla/893457290.mp3
779844874,Aegolius funereus,Aegolius,Strigidae,Aves,Chordata,Chordata/Aves/Strigidae/Aegolius/Aegolius_funereus/779844874.mp3
1052813853,Turdus philomelos,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_philomelos/1052813853.mp3
893491497,Sylvia curruca,Sylvia,Sylviidae,Aves,Chordata,Chordata/Aves/Sylviidae/Sylvia/Sylvia_curruca/893491497.mp3
1249269194,Lamprotornis caudatus,Lamprotornis,Sturnidae,Aves,Chordata,Chordata/Aves/Sturnidae/Lamprotornis/Lamprotornis_caudatus/1249269194.mp3
779868610,Turdus merula,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_merula/779868610.mp3
779858659,Locustella naevia,Locustella,Locustellidae,Aves,Chordata,Chordata/Aves/Locustellidae/Locustella/Locustella_naevia/779858659.mp3
779859805,Mino dumontii,Mino,Sturnidae,Aves,Chordata,Chordata/Aves/Sturnidae/Mino/Mino_dumontii/779859805.mp3
1230246052,Oriolus oriolus,Oriolus,Oriolidae,Aves,Chordata,Chordata/Aves/Oriolidae/Oriolus/Oriolus_oriolus/1230246052.mp3
779869103,Tyto alba,Tyto,Tytonidae,Aves,Chordata,Chordata/Aves/Tytonidae/Tyto/Tyto_alba/779869103.mp3
1229954389,Tauraco macrorhynchus,Tauraco,Musophagidae,Aves,Chordata,Chordata/Aves/Musophagidae/Tauraco/Tauraco_macrorhynchus/1229954389.mp3
779846103,Anthus trivialis,Anthus,Motacillidae,Aves,Chordata,Chordata/Aves/Motacillidae/Anthus/Anthus_trivialis/779846103.mp3
779846398,Apalis chariessa,Apalis,Cisticolidae,Aves,Chordata,Chordata/Aves/Cisticolidae/Apalis/Apalis_chariessa/779846398.mp3
991952273,Turdus merula,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_merula/991952273.mp3
779863996,Phylloscopus trochilus,Phylloscopus,Phylloscopidae,Aves,Chordata,Chordata/Aves/Phylloscopidae/Phylloscopus/Phylloscopus_trochilus/779863996.mp3
779867671,Acrocodia indica,Acrocodia,Tapiridae,Mammalia,Chordata,Chordata/Mammalia/Tapiridae/Acrocodia/Acrocodia_indica/779867671.mp3
779844953,Ailuroedus buccoides,Ailuroedus,Ptilonorhynchidae,Aves,Chordata,Chordata/Aves/Ptilonorhynchidae/Ailuroedus/Ailuroedus_buccoides/779844953.mp3
1229954381,Tauraco leucolophus,Tauraco,Musophagidae,Aves,Chordata,Chordata/Aves/Musophagidae/Tauraco/Tauraco_leucolophus/1229954381.mp3
991890248,Emberiza cirlus,Emberiza,Emberizidae,Aves,Chordata,Chordata/Aves/Emberizidae/Emberiza/Emberiza_cirlus/991890248.mp3
779858635,Locustella luscinioides,Locustella,Locustellidae,Aves,Chordata,Chordata/Aves/Locustellidae/Locustella/Locustella_luscinioides/779858635.mp3
779858947,Lullula arborea,Lullula,Alaudidae,Aves,Chordata,Chordata/Aves/Alaudidae/Lullula/Lullula_arborea/779858947.mp3
779855565,Fringilla coelebs,Fringilla,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Fringilla/Fringilla_coelebs/779855565.mp3
779860908,Ovis aries,Ovis,Bovidae,Mammalia,Chordata,Chordata/Mammalia/Bovidae/Ovis/Ovis_aries/779860908.mp3
779856455,Gallinula chloropus,Gallinula,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Gallinula/Gallinula_chloropus/779856455.mp3
1249268957,Erithacus rubecula,Erithacus,Muscicapidae,Aves,Chordata,Chordata/Aves/Muscicapidae/Erithacus/Erithacus_rubecula/1249268957.mp3
1572324717,Crex crex,Crex,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Crex/Crex_crex/1572324717.mp3
779850470,Chorthippus brunneus,Chorthippus,Acrididae,Insecta,Arthropoda,Arthropoda/Insecta/Acrididae/Chorthippus/Chorthippus_brunneus/779850470.mp3
779844269,Aceros corrugatus,Aceros,Bucerotidae,Aves,Chordata,Chordata/Aves/Bucerotidae/Aceros/Aceros_corrugatus/779844269.mp3
1249269574,Turdus viscivorus,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_viscivorus/1249269574.mp3
1143515029,Locustella luscinioides,Locustella,Locustellidae,Aves,Chordata,Chordata/Aves/Locustellidae/Locustella/Locustella_luscinioides/1143515029.mp3
779855464,Fringilla coelebs,Fringilla,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Fringilla/Fringilla_coelebs/779855464.mp3
779855621,Fringilla coelebs,Fringilla,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Fringilla/Fringilla_coelebs/779855621.mp3
893464019,Dendrocopos major,Dendrocopos,Picidae,Aves,Chordata,Chordata/Aves/Picidae/Dendrocopos/Dendrocopos_major/893464019.mp3
1249269179,Hirundo rustica,Hirundo,Hirundinidae,Aves,Chordata,Chordata/Aves/Hirundinidae/Hirundo/Hirundo_rustica/1249269179.mp3
1132421231,Porzana porzana,Porzana,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Porzana/Porzana_porzana/1132421231.mp3
779851133,Colobus guereza,Colobus,Cercopithecidae,Mammalia,Chordata,Chordata/Mammalia/Cercopithecidae/Colobus/Colobus_guereza/779851133.mp3
779846442,Apus apus,Apus,Apodidae,Aves,Chordata,Chordata/Aves/Apodidae/Apus/Apus_apus/779846442.mp3
779867087,Sylvia atricapilla,Sylvia,Sylviidae,Aves,Chordata,Chordata/Aves/Sylviidae/Sylvia/Sylvia_atricapilla/779867087.mp3
