,gbifID,identifier,species,genus,family,class,phylum,file_name
0,1572324720,http://www.tierstimmenarchiv.de/recordings/Crex_crex_DIG0196_02_short.mp3,Crex crex,Crex,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Crex/Crex_crex/1572324720.mp3
1,1572324719,http://www.tierstimmenarchiv.de/recordings/Crex_crex_DIG0196_04_short.mp3,Crex crex,Crex,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Crex/Crex_crex/1572324719.mp3
2,1572324718,http://www.tierstimmenarchiv.de/recordings/Crex_crex_DIG0196_07_short.mp3,Crex crex,Crex,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Crex/Crex_crex/1572324718.mp3
3,1572324717,http://www.tierstimmenarchiv.de/recordings/Crex_crex_DIG0196_06_short.mp3,Crex crex,Crex,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Crex/Crex_crex/1572324717.mp3
4,1572324716,http://www.tierstimmenarchiv.de/recordings/Crex_crex_DIG0196_01_short.mp3,Crex crex,Crex,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Crex/Crex_crex/1572324716.mp3
5,1572324715,http://www.tierstimmenarchiv.de/recordings/Crex_crex_DIG0196_05_short.mp3,Crex crex,Crex,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Crex/Crex_crex/1572324715.mp3
6,1572324714,http://www.tierstimmenarchiv.de/recordings/Crex_crex_DIG0196_03_short.mp3,Crex crex,Crex,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Crex/Crex_crex/1572324714.mp3
7,1571202165,http://www.tierstimmenarchiv.de/recordings/Phylloscopus_ibericus_DIG0195_06_short.mp3,Phylloscopus ibericus,Phylloscopus,Phylloscopidae,Aves,Chordata,Chordata/Aves/Phylloscopidae/Phylloscopus/Phylloscopus_ibericus/1571202165.mp3
8,1500204467,http://www.tierstimmenarchiv.de/recordings/Anas_acuta_DIG0195_03_short.mp3,Anas acuta,Anas,Anatidae,Aves,Chordata,Chordata/Aves/Anatidae/Anas/Anas_acuta/1500204467.mp3
9,1500204466,http://www.tierstimmenarchiv.de/recordings/Anas_acuta_DIG0195_05_short.mp3,Anas acuta,Anas,Anatidae,Aves,Chordata,Chordata/Aves/Anatidae/Anas/Anas_acuta/1500204466.mp3
10,1500204465,http://www.tierstimmenarchiv.de/recordings/Anas_acuta_DIG0195_01_short.mp3,Anas acuta,Anas,Anatidae,Aves,Chordata,Chordata/Aves/Anatidae/Anas/Anas_acuta/1500204465.mp3
11,1500204464,http://www.tierstimmenarchiv.de/recordings/Anas_acuta_DIG0195_04_short.mp3,Anas acuta,Anas,Anatidae,Aves,Chordata,Chordata/Aves/Anatidae/Anas/Anas_acuta/1500204464.mp3
12,1500204463,http://www.tierstimmenarchiv.de/recordings/Anas_acuta_DIG0195_02_short.mp3,Anas acuta,Anas,Anatidae,Aves,Chordata,Chordata/Aves/Anatidae/Anas/Anas_acuta/1500204463.mp3
13,1482861361,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0116_41_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861361.mp3
14,1482861360,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0123_01_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861360.mp3
15,1482861359,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0126_58_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861359.mp3
16,1482861358,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0111_25_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861358.mp3
17,1482861357,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0126_57_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861357.mp3
18,1482861356,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0125_56_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861356.mp3
19,1482861355,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0116_40_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861355.mp3
20,1482861354,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0112_26_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861354.mp3
21,1482861352,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0112_29_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861352.mp3
22,1482861347,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0124_54_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861347.mp3
23,1482861342,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0120_47_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861342.mp3
24,1482861338,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_palustris_Bru_DAT0110_09_short.mp3,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861338.mp3
